Record Number,Section,Page Name,Canonical URL,Page Type,Primary Topic,Secondary Topics,Category,Design Priority,Core Message,Primary Audience,Approved Headline,Alternative Headline,Category Label,Diagram Type,Visual Concept,Avoid List,Proposed Alt Text,Export Filename,Visual Similarity Group,Current Image Filename,Design Status,Notes
25,Blog,APDU from First Principles,https://ambisecure.ambimat.com/blog/apdu-from-first-principles/,TECHNICAL ARTICLE,APDU,Smart cards;JavaCard,Smart-card engineering,1,"The four ISO/IEC 7816-4 APDU cases, the CLA bit layout, and the status words an engineer actually meets in production — plus the length and encoding pitfalls that keep biting shipped code.",Smart-card engineer,"Four Cases, Two Status Bytes",ISO/IEC 7816-4 Without the Spec PDF,TECHNICAL ARTICLE,DATA PARSER,"Dominant object: a single command APDU laid out as a byte ribbon, with the four ISO/IEC 7816-4 cases stacked beneath it as progressively longer rows so the reader sees Lc and Le appear and disappear. The technical relationship is directional: reader sends the command ribbon to the card, the card returns a response ribbon that always terminates in SW1 SW2. Five major nodes only: CLA, INS, P1 P2, Lc+Data, Le — with the response tail (Data || SW1 SW2) drawn as a detached return row. Nothing lives inside hardware in this frame; this is the wire format, so the card is a flat silhouette at the ribbon's end rather than a cutaway, and no key material appears anywhere on the bus. Labels allowed: CLA, INS, P1, P2, Lc, Le, SW1, SW2, Case 1–4, and the worked bytes 00 A4 04 00, 9000, 6A82. Must not imply the article or its companion parser validates security or attacks a card.","Do not draw Le in a Case 1 or Case 3 layout, or Lc in a Case 2 layout — the case is defined by which length fields are absent; Do not render 9000 as a security verdict rather than a plain normal-completion status word; Do not depict the APDU bus as an encrypted channel — plain APDUs carry no confidentiality unless secure messaging is set in CLA; Do not show an extended-length APDU with a single-byte Lc field","Byte-level anatomy of an ISO/IEC 7816-4 command APDU across its four cases, showing how CLA, INS, P1/P2, Lc, Le and SW1/SW2 frame every smart-card exchange.",ambisecure-blog-apdu-from-first-principles-1200x630.png,VSG-BYTE-PARSER,blog.png,Not started,"Cornerstone of the APDU cluster and links out to the APDU parser tool. Keep the image clearly editorial (byte anatomy) rather than tool UI, so it does not collide visually with the parser page's own featured image."
26,Blog,Engineering Blog,https://ambisecure.ambimat.com/blog/,OTHER BLOG,Other,FIDO2;JavaCard;Transit security,Engineering blog,2,"The index to AmbiSecure's code-first engineering writing across FIDO and WebAuthn, JavaCard and APDU, DESFire and SAM-backed transit, V2X and secure-element architecture.",Security practitioner,Code-First Writing on Hardware Security,Written by Engineers Who Shipped It,BLOG,CONCEPTUAL ILLUSTRATION,"Dominant object: an editorial index plate — five topic tiles arranged as a table of contents, deliberately not a technical diagram, because this is the blog hub rather than any one article. The relationship shown is wayfinding: each tile names one engineering cluster and carries a small monochrome hardware glyph as its only illustration. Five nodes maximum: FIDO & WebAuthn, JavaCard & APDU, DESFire & SAM transit, V2X & device identity, secure-element architecture. Nothing is inside hardware here — hardware appears only as tile glyphs at glyph scale, never opened or cut away. What communicates externally: nothing; there is no flow to draw. Labels allowed: the five cluster names and the words 'Engineering blog'. Must not imply a product page, a single article's subject, or any certification. Within its group this is the only page whose dominant object is a content index rather than a technical structure.","Do not borrow any single article's diagram as the hero — this is the index, and reusing one article's visual mis-signals the destination; Do not feature a specific product or form factor as the dominant object on a hub page; Do not imply the 24-item engineering archive and the current blog are one collection — the page separates them; Do not print article counts or dates that will go stale between publication and share","Wayfinding plate for the AmbiSecure engineering blog, grouping its clusters — FIDO, JavaCard and APDU, DESFire transit, V2X and secure-element work — into five topic tiles.",ambisecure-blog-1200x630.png,VSG-CONTENT-HUB,blog.png,Not started,"Blog index, not an article; no pub/mod date. Body advertises a separate 'Engineering archive (24)' alongside current content — confirm with a human whether the hub image should represent current engineering content only. VSG-CONTENT-HUB invented because no listed VSG covers a content index."
27,Blog,Implementing FIDO2,https://ambisecure.ambimat.com/blog/implementing-fido2-developer-guide/,HOW-TO ARTICLE,FIDO2,WebAuthn;Attestation;Phishing-resistant authentication,FIDO & WebAuthn,1,"An end-to-end FIDO2 implementation walkthrough — WebAuthn and CTAP2, the registration and authentication ceremonies, attestation, and resident-credential choices — with code that compiles.",Security architect,Six Steps to a FIDO2 Credential,"WebAuthn Above, CTAP2 Below",TECHNICAL ARTICLE,PROTOCOL FLOW,"Dominant object: the registration ceremony as a left-to-right protocol flow, drawn as the article's own six numbered steps rather than an abstract trust triangle. The technical relationship is a round trip: server issues a random challenge → browser calls navigator.credentials.create() → authenticator mints a fresh keypair scoped to that origin → attestation and credential ID return → server verifies and stores credentialId + publicKey. Five nodes only: relying-party server, browser (WebAuthn), CTAP2 transport, authenticator, credential store. What stays inside hardware: the ES256 private key, sealed in the authenticator node with no outbound arrow of any kind. What communicates externally: the challenge inbound, and credential ID, public key and attestation statement outbound. Labels allowed: WebAuthn, CTAP2, USB-HID/NFC/BLE, ES256 (-7), challenge, attestation, credentialId, publicKey. Must not imply the server ever holds replayable secret material. Within VSG-FIDO-CEREMONY this is the create() registration round trip, not the get() assertion.","Do not draw any arrow carrying the private key out of the authenticator — the article's core claim is that it is generated and stays inside; Do not show one keypair shared across origins; each origin gets its own, and that is what makes the credential phishing-resistant; Do not depict the server storing anything that, if leaked, lets an attacker log in; Do not present attestation as proving who the user is — it proves make and model only","WebAuthn registration end to end: a server challenge, an origin-scoped keypair born inside the authenticator, attestation out, and only the public key stored server-side.",ambisecure-blog-implementing-fido2-developer-guide-1200x630.png,VSG-FIDO-CEREMONY,blog.png,Not started,Cornerstone; first published 2025-01-20 and updated 2026. Code samples use @simplewebauthn — do not surface third-party library branding in the image.
28,Blog,Why use Multi-factor Authentication?,https://ambisecure.ambimat.com/blog/why-use-multi-factor-authentication/,SECURITY ANALYSIS,Phishing-resistant authentication,Hardware security keys;FIDO2,MFA & access,2,"Attackers already hold billions of leaked credentials, so the value of a second factor — and especially a hardware-bound one — is that it cuts off the long tail of credential stuffing and phishing replay.",CISO,Twelve Billion Credentials Already Leaked,The Long Tail of Credential Stuffing,SECURITY EXPLAINER,CONCEPTUAL ILLUSTRATION,"Dominant object: a credential-stuffing funnel — a dense field of leaked credential rows on the left, narrowing through successive gates to the right. The relationship is attrition at scale: enormous stolen volume meets each factor requirement and the attacker's survival rate collapses gate by gate. Five nodes: the leaked credential field (~12 billion), automated login attempts, the password-only gate (passes freely), the OTP gate (attacker must intercept in real time, per account), the hardware-bound gate (origin binding makes the phished credential unusable). What stays inside hardware: the FIDO2 credential inside the final gate's token glyph, which has no outbound key arrow. What communicates externally: only the attempt traffic flowing left to right. Labels allowed: knowledge / possession / inherence, credential stuffing, ~12 billion. Must not imply a measured block rate or vendor benchmark — the article claims only that hardware-bound factors are not phishable because the challenge is origin-bound.",Do not show SMS or app OTP as phishing-resistant — the article's pivot is that it is harvestable and replayable inside its 30-second window; Do not put a numeric block rate or efficacy percentage on any gate; Do not depict biometrics as a standalone factor replacing possession rather than an inherence factor combined with one; Do not present the ~12 billion figure as an AmbiSecure measurement — it is attributed to Have I Been Pwned,"Credential-stuffing funnel showing why a password gate falls open, an OTP gate only raises attacker cost, and an origin-bound hardware factor blocks credential reuse outright.",ambisecure-blog-why-use-multi-factor-authentication-1200x630.png,VSG-THREAT-LANDSCAPE,blog.png,Not started,"2021 post refreshed in 2026; overlaps heavily with rec 29 (Top 3 Benefits of MFA) — same thesis, same era, same CTA family. Consolidation candidate: flag for human review before commissioning two separate images. Treated here as the broader/canonical of the pair."
29,Blog,Top 3 Benefits of Multi-factor Authentication,https://ambisecure.ambimat.com/blog/top-3-benefits-of-mfa/,SECURITY ANALYSIS,Hardware security keys,Phishing-resistant authentication;FIDO2;Attestation,MFA & access,3,"MFA earns its place by killing credential stuffing, bounding the blast radius of a successful phish, and producing audit evidence — and hardware-bound factors change what each of those three is worth.",IAM leader,Three Reasons MFA Isn't Optional,What Hardware-Bound Actually Changes,SECURITY EXPLAINER,COMPARISON,"Dominant object: a compact grading matrix — three factor classes down the rows, three attack-or-outcome classes across the columns. Rows: password only, SMS/app OTP, hardware-bound (FIDO2 card, USB key, biometric token). Columns: credential stuffing, phishing blast radius, audit evidence. Five nodes: the three row headers plus the two axis labels; individual cells are marks, not nodes. What stays inside hardware: the bottom row's cell art carries a small OnePass-class card glyph whose credential is sealed and drawn with no exit path. What communicates externally: only the AAGUID and attestation named in the audit column, travelling to the verifier. Labels allowed: credential stuffing, phishing, audit, AAGUID, attestation, FIDO2. Must not imply certification claims for AmbiSecure. Within VSG-COMPARISON-MATRIX this is the only matrix graded against attack classes; the DESFire ladder grades generations and the workforce matrix grades form factors.","Do not mark OTP as failing credential stuffing — the article explicitly credits it with raising cost from free to real-time interception; Do not present PCI DSS, NIST 800-63, SOC 2, ISO 27001 or India DPDP as certifications AmbiSecure holds; they are frameworks named as context; Do not show AAGUID or attestation as identifying the user rather than the device make and model; Do not draw the hardware-bound row as immune to enrolment fraud or help-desk recovery abuse","Matrix scoring password-only, OTP and hardware-bound MFA against credential stuffing, phishing blast radius and audit evidence, with AAGUID attestation as the audit lever.",ambisecure-blog-top-3-benefits-of-mfa-1200x630.png,VSG-COMPARISON-MATRIX,blog.png,Not started,"Consolidation candidate with rec 28 — near-identical thesis, both 2021, both short. If the two posts merge, retire this image in favour of rec 28's. Compliance frameworks in the body are context only, never AmbiSecure certifications."
36,Blog,DESFire EV1 vs EV2 vs EV3,https://ambisecure.ambimat.com/blog/desfire-ev1-vs-ev2-vs-ev3/,COMPARISON,Smart cards,Transit security;NFC;Personalization,Contactless smart-card platforms,1,"Across twelve years of DESFire the cipher never changed — what changed is how hard the platform makes it to use AES badly, which is why greenfield should buy EV3 silicon and personalise it in EV2 mode.",Smart-card engineer,EV2 Is the Architectural Pivot,"Buy EV3, Personalise in EV2 Mode",TECHNICAL ARTICLE,COMPARISON,"Dominant object: a three-column generation ladder — EV1 (c.2008), EV2 (c.2016), EV3 (c.2020) — with capability rows filling in from left to right, so the eye reads accumulation rather than replacement. The relationship the image must carry: AES-128 is a constant across all three columns; what actually evolves is enforcement. Five nodes: the three generation columns plus two highlighted rows — EV2 secure messaging (per-session keys bound to a command counter) and Transaction MAC. What stays inside hardware: K_app and the derived K_card[i], drawn sealed inside the card and SAM silicon. What communicates externally: the counter-bound, CMACed APDUs crossing the ISO/IEC 14443 Type A air interface under proprietary CLA 0x90. Labels allowed: EV1, EV2, EV3, AES-128, 3DES/D40, TMAC, CLA 0x90, ISO/IEC 14443 Type A. Within VSG-COMPARISON-MATRIX this is a generational ladder over time, unlike the attack-class and form-factor matrices in the group.","Do not show EV3 introducing a new cipher — AES-128 is the same primitive across EV1, EV2 and EV3, and the article says so explicitly; Do not depict EV1 as lacking AES; it was the first AES-capable generation; Do not illustrate specific DPA countermeasure internals — the article states neither it nor the public spec documents them; Do not draw a contact interface on a DESFire card, which is ISO/IEC 14443 Type A contactless","Generation ladder across DESFire EV1, EV2 and EV3 — AES-128 stays constant while per-session secure messaging and transaction MAC change what a transit issuer can prove.",ambisecure-blog-desfire-ev1-vs-ev2-vs-ev3-1200x630.png,VSG-COMPARISON-MATRIX,blog.png,Not started,Cornerstone with the strongest transit commercial pull in the batch; feeds the SAM and validator pillars. EV3's DPA countermeasures are deliberately undocumented in the body — hold the visual at architecture level rather than inventing chip internals.
37,Blog,Why SAMs Matter in Closed-Loop Transit Systems,https://ambisecure.ambimat.com/blog/why-sams-matter-in-closed-loop-transit/,ARCHITECTURE ARTICLE,Transit security,Secure Elements;Smart cards;Provisioning,Transit security architecture,1,Putting the issuer key in a Secure Access Module rather than validator firmware is the architectural difference between an incident at one validator and an incident across the whole fleet.,Transit-system architect,The Issuer Key Never Leaves the SAM,"One Validator Stolen, Zero Keys Lost",ARCHITECTURE,TRUST CHAIN,"Dominant object: the four-level key hierarchy as a vertical trust chain, cut across by one hard boundary line marking everything the validator's main CPU can never see. The flow runs downward by derivation: K_master in the issuer's HSM → K_app inside every SAM → K_card[i] = KDF(K_app, UID_i) on the card → K_session for a single tap. Five nodes: issuer HSM, SAM (a field-replaceable unit inside the validator), reader CPU, card, back office. What stays inside hardware: K_master in the HSM, and K_app plus every derivation inside the SAM's tamper-resistant silicon — the reader CPU sits below the boundary line holding only ciphertext and a state machine. What communicates externally: the encrypted-and-MACed host secure channel between reader CPU and SAM, and the SAM-signed transaction receipt uploaded to the back office. Labels allowed: K_master, K_app, K_card[i], K_session, KDF, UID, SAM, FRU, TMAC. Within VSG-TRANSIT this is the key-custody hierarchy, distinct from any card or validator hardware view.","Do not draw K_app or K_card[i] on the reader CPU or its bus — preventing exactly that is the entire reason the SAM exists; Do not show the host channel between reader CPU and SAM as plaintext, since it is mutually authenticated and MACed per boot session; Do not present a TPM attached to the reader CPU as architecturally equivalent to a SAM; Do not depict tamper-evident housing as a substitute for the SAM's tamper resistance — the article calls it additive; Do not brand the SAM as an AmbiSecure product, as the body describes NXP AV2/AV3 and vendor-neutral SAM-class parts","Transit key hierarchy running from the issuer's HSM down to a per-tap session key, with K_app sealed inside the validator's Secure Access Module and never on the reader CPU.",ambisecure-blog-why-sams-matter-in-closed-loop-transit-1200x630.png,VSG-TRANSIT,blog.png,Not started,Cornerstone. Body names NXP SAM AV2/AV3 as common market parts rather than AmbiSecure products — keep the SAM vendor-neutral in the artwork.
38,Blog,Designing Low-Latency Secure Transit Validators,https://ambisecure.ambimat.com/blog/designing-low-latency-secure-transit-validators/,ARCHITECTURE ARTICLE,Transit security,Smart cards;Secure Elements;NFC,Transit validator engineering,1,"A gate-class transit validator has 300 milliseconds to run RF activation, EV2 mutual authentication, fare logic, transaction MAC and gate actuation — and the budget has no slack anywhere in it.",Transit-system architect,Tap to Decision in 300 Milliseconds,Where the 300 ms Actually Goes,ARCHITECTURE,PROTOCOL FLOW,"Dominant object: a single horizontal 300 ms latency-budget bar, segmented proportionally, running from card-enters-field to gate-latch-decides. The relationship is strict seriality — each segment depends on the last completing, which is why the bar has no gaps and no parallel tracks. Five segments: RF activation and ISO 14443-3 anti-collision (~25 ms), SELECT plus first APDU (~30 ms), EV2 mutual authentication (~80 ms), fare logic (~80 ms), commit and gate actuation (~85 ms). What stays inside hardware: the SAM's key derivation inside the authentication segment, and the fare table pinned in the validator's RAM inside the fare-logic segment. What communicates externally: only asynchronous depot-sync traffic — blacklist in, receipt batches out — drawn as detached arrows above the bar to prove they never touch the tap path. Labels allowed: 300 ms and the per-stage millisecond figures, ISO 14443-3, EV2, TMAC. Within VSG-TIMELINE the dominant object is a proportional latency budget, not a calendar or roadmap.","Do not route blacklist updates or receipt uploads through the tap path — the article is emphatic that these are asynchronous depot-sync flows; Do not show the validator waiting on a network round trip to decide a fare, since most gates decide offline; Do not present the millisecond figures as a certified benchmark — they are the article's estimates from shipped deployments; Do not depict the SAM host session being opened per tap, as the article says open once at boot and hold it","A 300-millisecond tap-to-decision budget split across RF activation, SELECT, EV2 mutual authentication, fare logic and commit, showing a transit validator with no slack left.",ambisecure-blog-designing-low-latency-secure-transit-validators-1200x630.png,VSG-TIMELINE,blog.png,Not started,"Cornerstone. Millisecond figures are the article's shipped-deployment estimates, not measured or certified claims — avoid any treatment that reads as a benchmark chart."
56,Blog,Understanding WebAuthn Attestation Objects,https://ambisecure.ambimat.com/blog/understanding-webauthn-attestation-objects/,TECHNICAL ARTICLE,Attestation,WebAuthn;FIDO2;Hardware security keys,FIDO & WebAuthn,1,"Attestation is the policy primitive that lets an enterprise require certified hardware — but only if the relying party verifies the signature and validates the x5c chain against an MDS-derived trust anchor, rather than merely decoding it.",Security architect,Decoded Attestation Is Decorative Attestation,"Verify the Chain, Not Just the AAGUID",TECHNICAL ARTICLE,CERTIFICATE STRUCTURE,"Dominant object: the attestationObject opened as a CBOR map, its three keys expanded, with an x5c chain climbing out of attStmt toward a manufacturer root. The relationship is verification, not decoding: fmt selects the attStmt schema → the signature over authData || SHA-256(clientDataJSON) is checked against the x5c leaf → the chain validates to the trust anchor the MDS BLOB names for that AAGUID. Five nodes: the CBOR map (fmt / attStmt / authData), authData's byte layout (32-byte rpIdHash | flags | signCount | attestedCredentialData), the x5c leaf, the manufacturer root, the cached MDS BLOB. What stays inside hardware: the credential private key, which appears nowhere in this structure — only its public COSE_Key does, and the image should make that absence legible. What communicates externally: the attestation blob to the relying party, and the daily MDS BLOB fetch drawn deliberately off the hot path. Labels allowed: fmt, attStmt, authData, packed, x5c, AAGUID, rpIdHash, signCount, UP/UV/AT, MDS BLOB. Within VSG-CERT-STRUCTURE the dominant object is a CBOR envelope, not an X.509 body.","Do not place the credential private key anywhere inside the attestationObject — only the public COSE_Key is carried there; Do not present attestation as identifying the user or proving the device is currently in a trustworthy state, only that it was a known make and model at registration; Do not draw the MDS fetch on the registration hot path — the article prescribes a daily sync and cache reads; Do not render fmt: none as a failed registration, since it is a valid one that simply lacks make/model proof; Do not depict a decoded x5c chain as a validated one","WebAuthn attestationObject unpacked into fmt, attStmt and authData, its x5c chain validating to the manufacturer root that a cached FIDO MDS BLOB names for that AAGUID.",ambisecure-blog-understanding-webauthn-attestation-objects-1200x630.png,VSG-CERT-STRUCTURE,blog.png,Not started,Longest and most technical piece in the batch (26 min). Seven fmt values are covered in the body; this concept intentionally renders only the packed/x5c basic-attestation path to stay legible at LinkedIn preview size.
57,Blog,Embedded Secure-Element FIDO2 Authenticators for Enterprise Identity,https://ambisecure.ambimat.com/blog/sim-based-fido2-authenticators/,ARCHITECTURE ARTICLE,Secure Elements,FIDO2;JavaCard;Enterprise access,Secure-element architecture,1,"The same CC EAL6+ secure element, packaged as a removable 4FF nano-card or a solderable MFF2 module, can carry the enterprise FIDO2 credential under the issuer's own keys — collapsing two certification and personalisation pipelines into one.",Device-security architect,"One Secure Element, One Revocation Surface",FIDO2 Under the Issuer's Keys,ARCHITECTURE,SYSTEM ARCHITECTURE,"Dominant object: one secure-element die shown twice — mounted in a removable 4FF nano-card and reflowed as a solderable MFF2 module — sharing a single applet stack drawn once beneath both packages, so the identical-silicon argument is the composition itself. The relationship: same CC EAL6+ die, same JavaCard 3.x on GlobalPlatform 2.3.1, same SCP03 issuer keys; only the package and the WebAuthn role differ — roaming authenticator versus platform authenticator. Five nodes: the SE die, the 4FF package, the MFF2 package, the issuer's personalisation line, and the host device speaking CTAP2.1 over ISO/IEC 7816 T=0/T=1. What stays inside hardware: the ECC P-256 keypair, whose private half never crosses the chip boundary — not even to the host device's own operating system. What communicates externally: CTAP2.1 traffic on the contact interface, and applet loading under SCP03 from the personalisation line. Labels allowed: 4FF, MFF2, CC EAL6+, JavaCard 3.x, GlobalPlatform 2.3.1, SCP03, CTAP2.1, ECC P-256. Within VSG-SE-ARCHITECTURE the variation is the one-die-two-packages framing.","Do not conflate the 4FF or MFF2 secure element with a SIM subscription, carrier profile, or any telecom connectivity — these are form factors, not a network service; Do not show the P-256 private key reaching the host OS; Do not draw the MFF2 module as removable or the 4FF nano-card as soldered — the packaging distinction carries the roaming-versus-platform argument; Do not depict the trust root as the device vendor's, since the article's whole gain is an attestation chain running through the issuing organisation's own CA; Do not add FIDO certification marks — the body claims CC EAL6+ for the chip only",One CC EAL6+ secure element in two packages — removable 4FF nano-card and solderable MFF2 — running a FIDO2 applet whose P-256 private key never leaves the chip boundary.,ambisecure-blog-sim-based-fido2-authenticators-1200x630.png,VSG-SE-ARCHITECTURE,blog.png,Not started,"ACCURACY FLAG: the slug is sim-based-fido2-authenticators but the title, H1 and body deliberately reframe away from SIM/telecom to 'embedded secure element'. The image must not reintroduce SIM or connectivity imagery. Flag the slug/title mismatch for human review."
